# nbr	zone_color_id	x_world_grid	y_world_grid	top_z	bottom_z	zone_name	coords1	coords2	coords3	coords4	coords5	coords6	UNK_1	map	dupa
38	253	16	25	30000	-30000	Obelisk of Victory	-1	-1	-1	-1	-1	-1	0		0
39	254	16	25	30000	-30000	Singing Waterfall	-1	-1	-1	-1	-1	-1	0		0
40	252	17	25	30000	-30000	Talking Island Harbor	-1	-1	-1	-1	-1	-1	0		0
41	253	22	22	30000	-30000	Giran Arena	-1	-1	-1	-1	-1	-1	0		0
42	255	23	22	30000	-30000	Giran Castle	-1	-1	-1	-1	-1	-1	0		0
43	255	22	22	30000	-30000	Town of Giran	1244	2053	73536	140032	1024	1024	"0,05"	map_giran_castle_town	0
44	255	21	23	30000	-30000	Giran Harbor	-1	-1	-1	-1	-1	-1	0		0
45	255	24	21	30000	-30000	Antharas's Lair	-1	-1	-1	-1	-1	-1	0		0
46	251	22	21	30000	-30000	Death Pass	-1	-1	-1	-1	-1	-1	0		0
47	254	20	22	30000	-30000	Dion Castle	-1	-1	-1	-1	-1	-1	0		0
48	255	20	22	30000	-30000	Town of Dion	927	2042	11840	138432	1024	1024	"0,05"	map_dion_castle_town	0
49	252	20	23	30000	-30000	Monster Race Track	-1	-1	-1	-1	-1	-1	0		0
50	255	21	21	30000	-30000	Partisan's Hideaway	-1	-1	-1	-1	-1	-1	0		0
51	255	21	22	30000	-30000	Execution Grounds	-1	-1	-1	-1	-1	-1	0		0
52	253	20	21	30000	-4407	Cruma Marshlands	-1	-1	-1	-1	-1	-1	0		0
53	255	20	21	30000	-30000	Cruma Marshlands	-1	-1	-1	-1	-1	-1	0		0
54	254	20	21	30000	-4407	Cruma Tower	-1	-1	-1	-1	-1	-1	0		0
55	253	20	21	-4408	-14036	Cruma Tower	-1	-1	-1	-1	-1	-1	0		0
56	254	20	21	-4408	-30000	Cruma Tower	-1	-1	-1	-1	-1	-1	0		0
57	254	21	22	30000	-30000	Tanor Canyon	-1	-1	-1	-1	-1	-1	0		0
58	255	20	23	30000	-30000	Floran Village	903	2156	11840	165120	1024	1024	"0,05"	map_floran_village	0
59	253	20	23	30000	-30000	Bee Hive	-1	-1	-1	-1	-1	-1	0		0
60	255	20	14	-1952	-3952	Cave of Trials	909	765	7400	-124192	1024	1024	"0,05"	dungeon_map_dungeon_of_trial	0
61	255	20	13	30000	-30000	Frozen Waterfalls	-1	-1	-1	-1	-1	-1	0		0
62	255	18	14	30000	-30000	Orc Village	602	743	-52736	-120832	1024	1024	"0,05"	map_orc_village	0
63	254	18	14	30000	-30000	The Pa'agrio Temple	-1	-1	-1	-1	-1	-1	0		0
64	254	23	12	30000	-30000	Dwarven Village	1417	401	110144	-187968	1024	1024	"0,05"	map_dwarven_village	0
65	255	25	12	4224	-4810	Mithril Mines	-1	-1	-1	-1	-1	-1	0		0
66	255	24	12	3424	-2704	Abandoned Coal Mines	1552	453	134800	-182650	1024	1024	"0,05"	dungeon_map_abaodoned_mime	0
67	255	23	12	30000	-30000	Strip Mine	-1	-1	-1	-1	-1	-1	0		0
68	255	24	20	30000	-30000	The Forest of Mirrors	-1	-1	-1	-1	-1	-1	0		0
69	255	25	19	30000	-30000	The Giant's Cave	-1	-1	-1	-1	-1	-1	0		0
70	254	25	19	-5172	-30000	Silent Valley	-1	-1	-1	-1	-1	-1	0		0
71	255	25	18	30000	-30000	The Cemetery	-1	-1	-1	-1	-1	-1	0		0
72	255	24	19	30000	-30000	Narsell Lake	-1	-1	-1	-1	-1	-1	0		0
73	253	25	19	30000	-30000	Forsaken Plains	-1	-1	-1	-1	-1	-1	0		0
74	255	23	20	30000	-30000	Hunters Village	1424	1706	111104	70016	1024	1024	"0,05"	map_hunters_village	0
75	254	25	18	30000	-30000	The Forbidden Gateway	-1	-1	-1	-1	-1	-1	0		0
76	254	24	18	30000	-30000	Aden Castle	-1	-1	-1	-1	-1	-1	0		0
77	255	24	18	30000	-30000	Town of Aden	1574	1446	139264	16384	1024	1024	"0,05"	map_town_of_aden	0
78	254	25	20	30000	-30000	Anghel Waterfall	-1	-1	-1	-1	-1	-1	0		0
79	251	23	18	6944	5952	Tower of Insolence: 10th Floor	-1	-1	-1	-1	-1	-1	0		0
80	251	23	18	7952	6976	Tower of Insolence: 11th Floor	-1	-1	-1	-1	-1	-1	0		0
81	251	23	18	8960	7968	Tower of Insolence: 12th Floor	-1	-1	-1	-1	-1	-1	0		0
82	251	23	18	10048	8976	Tower of Insolence: 13th Floor	-1	-1	-1	-1	-1	-1	0		0
83	251	23	18	12000	10064	Tower of Insolence: 14th Floor	-1	-1	-1	-1	-1	-1	0		0
84	251	23	18	-3728	-10000	Tower of Insolence: 1st Floor	-1	-1	-1	-1	-1	-1	0		0
85	251	23	18	-2192	-3680	Tower of Insolence: 2nd Floor	-1	-1	-1	-1	-1	-1	0		0
86	251	23	18	-704	-2128	Tower of Insolence: 3rd Floor	-1	-1	-1	-1	-1	-1	0		0
87	251	23	18	784	-688	Tower of Insolence: 4th Floor	-1	-1	-1	-1	-1	-1	0		0
88	251	23	18	1872	896	Tower of Insolence: 5th Floor	-1	-1	-1	-1	-1	-1	0		0
89	251	23	18	2912	1888	Tower of Insolence: 6th Floor	-1	-1	-1	-1	-1	-1	0		0
90	251	23	18	3920	2928	Tower of Insolence: 7th Floor	-1	-1	-1	-1	-1	-1	0		0
91	251	23	18	4928	3952	Tower of Insolence: 8th Floor	-1	-1	-1	-1	-1	-1	0		0
92	251	23	18	5936	4944	Tower of Insolence: 9th Floor	-1	-1	-1	-1	-1	-1	0		0
93	254	24	19	30000	-30000	Coliseum	-1	-1	-1	-1	-1	-1	0		0
94	255	25	17	30000	-4220	Devastated Castle	-1	-1	-1	-1	-1	-1	0		0
95	255	24	17	30000	-30000	Blazing Swamp	-1	-1	-1	-1	-1	-1	0		0
96	254	23	17	30000	-30000	Ancient Battleground	-1	-1	-1	-1	-1	-1	0		0
97	253	23	17	30000	-30000	Eastern Border Outpost	-1	-1	-1	-1	-1	-1	0		0
98	255	22	17	30000	-30000	Bandit Stronghold	-1	-1	-1	-1	-1	-1	0		0
99	255	22	18	30000	-4632	Ivory Tower	-1	-1	-1	-1	-1	-1	0		0
100	254	22	19	30000	-30000	Oren Castle	-1	-1	-1	-1	-1	-1	0		0
101	255	22	19	30000	-30000	Town of Oren	1250	1595	75136	48768	1024	1024	"0,05"	map_town_of_oren	0
102	254	22	20	30000	-3900	Plains of the Lizardmen	-1	-1	-1	-1	-1	-1	0		0
103	255	23	19	30000	-30000	The Enchanted Valley	-1	-1	-1	-1	-1	-1	0		0
104	255	21	18	30000	-30000	Sea of Spores	-1	-1	-1	-1	-1	-1	0		0
105	253	22	19	30000	-30000	Sel Mahum Training Grounds	-1	-1	-1	-1	-1	-1	0		0
106	255	19	19	30000	-30000	Swampland	-1	-1	-1	-1	-1	-1	0		0
107	255	20	18	30000	-30000	Dark Elf Village	885	1394	768	9344	1024	1024	"0,05"	map_dark_elven_village	0
108	254	20	18	30000	-30000	The Shilen Temple	-1	-1	-1	-1	-1	-1	0		0
109	255	18	20	30000	-4000	Altar of Rites	-1	-1	-1	-1	-1	-1	0		0
110	255	18	19	30000	-30000	School of Dark Arts	608	1572	-57500	39808	1024	1024	"0,05"	dungeon_map_black_magic_laboratory	0
111	254	21	19	30000	-30000	Shadow of the Mother Tree	-1	-1	-1	-1	-1	-1	0		0
112	255	21	20	30000	-30000	Iris Lake	-1	-1	-1	-1	-1	-1	0		0
113	255	21	19	30000	-30000	Elven Village	1071	1568	39168	42688	1024	1024	"0,05"	map_elven_village	0
114	255	20	20	-3200	-4450	Elven Fortress	958	1687	8320	68086	1024	1024	"0,05"	dungeon_map_elven_underground_fortress	0
115	253	21	19	30000	-30000	Starlight Waterfall	-1	-1	-1	-1	-1	-1	0		0
116	255	22	23	30000	-30000	Field of Silence	-1	-1	-1	-1	-1	-1	0		0
117	255	22	24	30000	-30000	Field of Whispers	-1	-1	-1	-1	-1	-1	0		0
118	255	23	24	30000	-30000	Heine	1391	2436	101504	212608	1024	1024	"0,05"	map_heine	0
119	255	21	24	30000	-30000	Devil's Isle	-1	-1	-1	-1	-1	-1	0		0
120	255	23	23	30000	-30000	Alligator Island	-1	-1	-1	-1	-1	-1	0		0
121	255	22	25	30000	-30000	Garden of Eva	-1	-1	-1	-1	-1	-1	0		0
122	254	23	24	30000	-30000	Tour Boat Dock	-1	-1	-1	-1	-1	-1	0		0
123	255	23	25	30000	-30000	Innadril Castle	-1	-1	-1	-1	-1	-1	0		0
124	254	21	24	30000	-30000	Pirate Tunnel	-1	-1	-1	-1	-1	-1	0		0
125	249	17	21	-3968	-5056	Oracle of Dawn	-1	-1	-1	-1	-1	-1	0		0
126	249	17	20	-4224	-5312	Oracle of Dusk	-1	-1	-1	-1	-1	-1	0		0
127	249	18	20	-4064	-4896	Necropolis of Devotion	-1	-1	-1	-1	-1	-1	0		0
128	249	18	24	-4282	-5242	Necropolis of Sacrifice	-1	-1	-1	-1	-1	-1	0		0
129	249	19	18	-4224	-5056	Catacomb of Dark Omens	-1	-1	-1	-1	-1	-1	0		0
130	249	19	20	-4496	-5328	The Patriot's Necropolis	-1	-1	-1	-1	-1	-1	0		0
131	249	21	21	-4736	-5568	The Pilgrim's Necropolis	-1	-1	-1	-1	-1	-1	0		0
132	249	21	22	-4704	-5536	Catacomb of the Heretic	-1	-1	-1	-1	-1	-1	0		0
133	249	21	23	-4304	-5136	Catacomb of the Branded	-1	-1	-1	-1	-1	-1	0		0
134	249	22	20	-3936	-5280	Catacomb of the Apostate	-1	-1	-1	-1	-1	-1	0		0
135	249	22	24	-4762	-5594	The Saint's Necropolis	-1	-1	-1	-1	-1	-1	0		0
136	249	23	20	-5352	-6696	Catacomb of the Forbidden Path	-1	-1	-1	-1	-1	-1	0		0
137	249	23	22	-4154	-4986	Necropolis of Martyrdom	-1	-1	-1	-1	-1	-1	0		0
138	249	23	23	-4762	-5594	Necropolis of Worship	-1	-1	-1	-1	-1	-1	0		0
139	249	24	20	-3984	-5584	Catacomb of the Witch	-1	-1	-1	-1	-1	-1	0		0
140	249	25	17	-4224	-5644	The Disciple's Necropolis	-1	-1	-1	-1	-1	-1	0		0
141	255	16	10	30000	-30000	GM Consultation Service	-1	-1	-1	-1	-1	-1	0		0
142	255	18	24	-4282	-5242	Necropolis of Sacrifice	-1	-1	-1	-1	-1	-1	0		0
143	253	17	20	-4224	-5312	Oracle of Dusk	-1	-1	-1	-1	-1	-1	0		0
144	249	17	20	30000	-4220	Gludio Territory	-1	-1	-1	-1	-1	-1	0		0
145	250	17	20	-4224	-5312	Oracle of Dusk	-1	-1	-1	-1	-1	-1	0		0
146	250	17	20	30000	-4220	The Dark Forest	-1	-1	-1	-1	-1	-1	0		0
147	252	18	22	30000	-30000	Fellmere Lake	-1	-1	-1	-1	-1	-1	0		0
148	252	17	22	30000	-30000	Fellmere Lake	-1	-1	-1	-1	-1	-1	0		0
149	255	19	24	30000	-4200	Langk Lizardmen Dwellings	-1	-1	-1	-1	-1	-1	0		0
150	253	18	24	30000	-30000	Red Rock Ridge	-1	-1	-1	-1	-1	-1	0		0
151	253	19	24	30000	-30000	Red Rock Ridge	-1	-1	-1	-1	-1	-1	0		0
152	253	18	23	-3760	-5632	Forgotten Temple	-1	-1	-1	-1	-1	-1	0		0
153	254	21	23	30000	-30000	Tanor Canyon	-1	-1	-1	-1	-1	-1	0		0
154	254	22	22	30000	-30000	Tanor Canyon	-1	-1	-1	-1	-1	-1	0		0
155	253	21	23	30000	-30000	Bee Hive	-1	-1	-1	-1	-1	-1	0		0
156	254	23	18	30000	-30000	Ancient Battleground	-1	-1	-1	-1	-1	-1	0		0
157	249	18	24	30000	-4200	Red Rock Ridge	-1	-1	-1	-1	-1	-1	0		0
158	249	22	20	30000	-3900	Oren Territory	-1	-1	-1	-1	-1	-1	0		0
159	254	22	20	-3936	-5280	Catacomb of the Apostate	-1	-1	-1	-1	-1	-1	0		0
160	249	17	21	30000	-3950	Gludio Territory	-1	-1	-1	-1	-1	-1	0		0
161	249	18	20	30000	-4000	The Dark Forest	-1	-1	-1	-1	-1	-1	0		0
162	255	18	20	-4064	-4896	Necropolis of Devotion	-1	-1	-1	-1	-1	-1	0		0
163	250	18	20	30000	-4000	Misty Mountains	-1	-1	-1	-1	-1	-1	0		0
164	250	18	20	-4064	-4896	Necropolis of Devotion	-1	-1	-1	-1	-1	-1	0		0
165	250	19	20	-4496	-5328	The Patriot's Necropolis	-1	-1	-1	-1	-1	-1	0		0
166	249	19	20	30000	-4480	The Dark Forest	-1	-1	-1	-1	-1	-1	0		0
167	250	19	20	30000	-4480	The Neutral Zone	-1	-1	-1	-1	-1	-1	0		0
168	249	19	18	30000	-4220	The Dark Forest	-1	-1	-1	-1	-1	-1	0		0
169	249	21	21	30000	-4700	Partisan's Hideaway	-1	-1	-1	-1	-1	-1	0		0
170	249	21	22	30000	-4700	Execution Grounds	-1	-1	-1	-1	-1	-1	0		0
171	249	21	23	30000	-4300	Giran Territory	-1	-1	-1	-1	-1	-1	0		0
172	249	22	24	30000	-4760	Field of Whispers	-1	-1	-1	-1	-1	-1	0		0
173	249	23	20	30000	-5350	Hunters Village	-1	-1	-1	-1	-1	-1	0		0
174	249	23	22	30000	-4150	Gorgon Flower Garden	-1	-1	-1	-1	-1	-1	0		0
175	249	23	23	30000	-4760	Alligator Island	-1	-1	-1	-1	-1	-1	0		0
176	249	24	20	30000	-3980	The Forest of Mirrors	-1	-1	-1	-1	-1	-1	0		0
177	255	25	17	-4224	-5644	The Disciple's Necropolis	-1	-1	-1	-1	-1	-1	0		0
178	255	25	21	30000	-30000	Antharas's Nest	-1	-1	-1	-1	-1	-1	0		0
179	254	19	23	30000	-4400	Wasteland	-1	-1	-1	-1	-1	-1	0		0
180	255	20	14	30000	29999	_Lyonn Territory	-1	-1	-1	-1	-1	-1	0		0
181	255	20	20	30000	-3100	Elven Forest	-1	-1	-1	-1	-1	-1	0		0
182	254	18	23	30000	-3700	Gludio Territory	-1	-1	-1	-1	-1	-1	0		0
183	255	24	12	30000	3430	Schuttgart Territory	-1	-1	-1	-1	-1	-1	0		0
184	255	25	12	30000	4250	Schuttgart Territory	-1	-1	-1	-1	-1	-1	0		0
185	254	25	19	30000	-5170	The Giant's Cave	-1	-1	-1	-1	-1	-1	0		0
186	254	19	19	30000	-30000	Undine Waterfall	-1	-1	-1	-1	-1	-1	0		0
187	254	22	18	30000	-30000	The Gods' Falls	-1	-1	-1	-1	-1	-1	0		0
188	249	25	17	30000	-4220	Fields of Massacre	-1	-1	-1	-1	-1	-1	0		0
189	244	19	13	30000	-30000	"Immortal Plateau, Northern Region"	-1	-1	-1	-1	-1	-1	0		0
190	244	19	14	30000	-30000	"Immortal Plateau, Northern Region"	-1	-1	-1	-1	-1	-1	0		0
191	244	19	15	30000	-30000	"Immortal Plateau, Northern Region"	-1	-1	-1	-1	-1	-1	0		0
192	244	20	13	30000	-30000	"Immortal Plateau, Northern Region"	-1	-1	-1	-1	-1	-1	0		0
193	244	20	14	30000	-30000	"Immortal Plateau, Northern Region"	-1	-1	-1	-1	-1	-1	0		0
194	245	19	15	30000	-30000	"Immortal Plateau, Southern Region"	-1	-1	-1	-1	-1	-1	0		0
195	245	20	14	30000	-30000	"Immortal Plateau, Southern Region"	-1	-1	-1	-1	-1	-1	0		0
196	245	20	15	30000	-30000	"Immortal Plateau, Southern Region"	-1	-1	-1	-1	-1	-1	0		0
197	243	18	14	30000	-30000	Valley of Heroes	-1	-1	-1	-1	-1	-1	0		0
198	243	19	14	30000	-30000	Valley of Heroes	-1	-1	-1	-1	-1	-1	0		0
199	243	23	12	30000	-30000	Frozen Valley	-1	-1	-1	-1	-1	-1	0		0
200	244	23	11	30000	-30000	Western Mining Zone	-1	-1	-1	-1	-1	-1	0		0
201	244	23	12	30000	-30000	Western Mining Zone	-1	-1	-1	-1	-1	-1	0		0
202	244	24	11	30000	-30000	Western Mining Zone	-1	-1	-1	-1	-1	-1	0		0
203	244	24	12	30000	-30000	Western Mining Zone	-1	-1	-1	-1	-1	-1	0		0
204	245	24	11	30000	-30000	Eastern Mining Zone	-1	-1	-1	-1	-1	-1	0		0
205	245	24	12	30000	-30000	Eastern Mining Zone	-1	-1	-1	-1	-1	-1	0		0
206	245	25	11	30000	-30000	Eastern Mining Zone	-1	-1	-1	-1	-1	-1	0		0
207	245	25	12	30000	-30000	Eastern Mining Zone	-1	-1	-1	-1	-1	-1	0		0
208	244	23	24	30000	-30000	Alligator Beach	-1	-1	-1	-1	-1	-1	0		0
209	244	24	18	30000	-30000	Plains of Glory	-1	-1	-1	-1	-1	-1	0		0
210	243	24	17	30000	-30000	Fields of Massacre	-1	-1	-1	-1	-1	-1	0		0
211	243	25	17	30000	-30000	Fields of Massacre	-1	-1	-1	-1	-1	-1	0		0
212	245	24	18	30000	-30000	War-Torn Plains	-1	-1	-1	-1	-1	-1	0		0
213	245	25	18	30000	-30000	War-Torn Plains	-1	-1	-1	-1	-1	-1	0		0
214	244	23	21	30000	-30000	Gorgon Flower Garden	-1	-1	-1	-1	-1	-1	0		0
215	244	23	22	30000	-30000	Gorgon Flower Garden	-1	-1	-1	-1	-1	-1	0		0
216	245	22	21	30000	-30000	Breka's Stronghold	-1	-1	-1	-1	-1	-1	0		0
217	245	22	22	30000	-30000	Breka's Stronghold	-1	-1	-1	-1	-1	-1	0		0
218	244	17	20	30000	-30000	Spider Nest	-1	-1	-1	-1	-1	-1	0		0
219	244	18	20	30000	-30000	Spider Nest	-1	-1	-1	-1	-1	-1	0		0
220	251	18	19	30000	-30000	Black Rock Hill	-1	-1	-1	-1	-1	-1	0		0
221	251	18	20	30000	-30000	Black Rock Hill	-1	-1	-1	-1	-1	-1	0		0
222	251	19	19	30000	-30000	Black Rock Hill	-1	-1	-1	-1	-1	-1	0		0
223	251	19	20	30000	-30000	Black Rock Hill	-1	-1	-1	-1	-1	-1	0		0
224	244	19	18	30000	-30000	Shilen's Garden	-1	-1	-1	-1	-1	-1	0		0
225	244	20	18	30000	-30000	Shilen's Garden	-1	-1	-1	-1	-1	-1	0		0
226	244	21	18	30000	-30000	Shilen's Garden	-1	-1	-1	-1	-1	-1	0		0
227	245	18	20	30000	-30000	Forest of Sacrifice	-1	-1	-1	-1	-1	-1	0		0
228	245	19	20	30000	-30000	Forest of Sacrifice	-1	-1	-1	-1	-1	-1	0		0
229	244	19	21	30000	-30000	Evil Hunting Grounds	-1	-1	-1	-1	-1	-1	0		0
230	244	20	21	30000	-30000	Evil Hunting Grounds	-1	-1	-1	-1	-1	-1	0		0
231	244	22	19	30000	-30000	Timak Outpost	-1	-1	-1	-1	-1	-1	0		0
232	244	22	20	30000	-30000	Timak Outpost	-1	-1	-1	-1	-1	-1	0		0
233	245	22	17	30000	-30000	Outlaw Forest	-1	-1	-1	-1	-1	-1	0		0
234	245	22	18	30000	-30000	Outlaw Forest	-1	-1	-1	-1	-1	-1	0		0
235	245	23	17	30000	-30000	Outlaw Forest	-1	-1	-1	-1	-1	-1	0		0
236	245	23	18	30000	-30000	Outlaw Forest	-1	-1	-1	-1	-1	-1	0		0
237	253	23	20	30000	-30000	Hunters Valley	-1	-1	-1	-1	-1	-1	0		0
238	244	22	18	30000	-30000	Forest of Evil	-1	-1	-1	-1	-1	-1	0		0
239	253	22	18	30000	-30000	Ivory Tower Crater	-1	-1	-1	-1	-1	-1	0		0
240	255	22	18	-4633	-30000	Ivory Tower Crater	-1	-1	-1	-1	-1	-1	0		0
241	244	20	23	30000	-30000	Plains of Dion	-1	-1	-1	-1	-1	-1	0		0
242	245	20	22	30000	-30000	Floran Agricultural Area	-1	-1	-1	-1	-1	-1	0		0
243	245	20	23	30000	-30000	Floran Agricultural Area	-1	-1	-1	-1	-1	-1	0		0
244	243	20	22	30000	-30000	Dion Hills	-1	-1	-1	-1	-1	-1	0		0
245	243	21	22	30000	-30000	Dion Hills	-1	-1	-1	-1	-1	-1	0		0
246	245	19	22	30000	-30000	Windawood Manor	-1	-1	-1	-1	-1	-1	0		0
247	245	19	23	30000	-30000	Windawood Manor	-1	-1	-1	-1	-1	-1	0		0
248	245	19	24	30000	-30000	Ol Mahum Checkpoint	-1	-1	-1	-1	-1	-1	0		0
249	245	17	20	30000	-30000	Fellmere Harvesting Grounds	-1	-1	-1	-1	-1	-1	0		0
250	245	17	21	30000	-30000	Fellmere Harvesting Grounds	-1	-1	-1	-1	-1	-1	0		0
251	245	18	21	30000	-30000	Fellmere Harvesting Grounds	-1	-1	-1	-1	-1	-1	0		0
252	251	18	21	30000	-30000	The Ruined Bend	-1	-1	-1	-1	-1	-1	0		0
253	251	18	22	30000	-30000	The Ruined Bend	-1	-1	-1	-1	-1	-1	0		0
254	251	19	22	30000	-30000	The Ruined Bend	-1	-1	-1	-1	-1	-1	0		0
255	244	17	22	30000	-30000	Windmill Hill	-1	-1	-1	-1	-1	-1	0		0
256	244	17	23	30000	-30000	Windmill Hill	-1	-1	-1	-1	-1	-1	0		0
257	244	18	22	30000	-30000	Windmill Hill	-1	-1	-1	-1	-1	-1	0		0
258	244	18	23	30000	-30000	Windmill Hill	-1	-1	-1	-1	-1	-1	0		0
259	244	16	24	30000	-30000	"Talking Island, Northern Territory"	-1	-1	-1	-1	-1	-1	0		0
260	244	16	25	30000	-30000	"Talking Island, Northern Territory"	-1	-1	-1	-1	-1	-1	0		0
261	244	16	26	30000	-30000	"Talking Island, Northern Territory"	-1	-1	-1	-1	-1	-1	0		0
262	245	17	24	30000	-30000	"Talking Island, Eastern Territory"	-1	-1	-1	-1	-1	-1	0		0
263	245	17	25	30000	-30000	"Talking Island, Eastern Territory"	-1	-1	-1	-1	-1	-1	0		0
264	245	17	26	30000	-30000	"Talking Island, Eastern Territory"	-1	-1	-1	-1	-1	-1	0		0
265	245	18	25	30000	-30000	"Talking Island, Eastern Territory"	-1	-1	-1	-1	-1	-1	0		0
266	245	18	26	30000	-30000	"Talking Island, Eastern Territory"	-1	-1	-1	-1	-1	-1	0		0
267	251	20	23	30000	-30000	Dion Arena	-1	-1	-1	-1	-1	-1	0		0
268	16	0	0	30000	-30000	Goddard Territory	-1	-1	-1	-1	-1	-1	0		0
269	255	24	16	30000	-30000	Town of Goddard	1565	1038	140256	-64320	1024	1024	"0,05"	map_godard_castle_town	0
270	254	24	16	30000	-30000	Goddard Castle	-1	-1	-1	-1	-1	-1	0		0
271	253	24	16	30000	-30000	Garden of Beasts	-1	-1	-1	-1	-1	-1	0		0
272	255	24	14	30000	-30000	Hot Springs	-1	-1	-1	-1	-1	-1	0		0
273	254	25	14	-1910	-4268	"Forge of the Gods, Upper Level"	-1	-1	-1	-1	-1	-1	0		0
274	254	25	14	-4270	-300000	"Forge of the Gods, Lower Level"	-1	-1	-1	-1	-1	-1	0		0
275	254	25	14	30000	-1900	Hall of Flames	-1	-1	-1	-1	-1	-1	0		0
276	254	26	14	30000	-30000	Valakas's Lair	-1	-1	-1	-1	-1	-1	0		0
277	255	24	15	30000	-30000	Ketra Orc Outpost	-1	-1	-1	-1	-1	-1	0		0
278	255	25	15	30000	-30000	Imperial Tomb	-1	-1	-1	-1	-1	-1	0		0
279	247	25	15	30000	-4400	Imperial Tomb	-1	-1	-1	-1	-1	-1	0		0
280	254	25	15	30000	-30000	Pilgrim's Temple	-1	-1	-1	-1	-1	-1	0		0
281	252	25	15	30000	-30000	Sepulcher of Conquerors	-1	-1	-1	-1	-1	-1	0		0
282	251	25	15	30000	-30000	Sepulcher of Rulers	-1	-1	-1	-1	-1	-1	0		0
283	249	25	15	-5600	-30000	Sepulcher of Great Sages	-1	-1	-1	-1	-1	-1	0		0
284	250	25	15	-5600	-30000	Sepulcher of Judges	-1	-1	-1	-1	-1	-1	0		0
285	247	25	15	-5600	-30000	Sepulcher of Judges	-1	-1	-1	-1	-1	-1	0		0
286	253	25	15	30000	-30000	Four Sepulchers	-1	-1	-1	-1	-1	-1	0		0
287	255	25	16	30000	-30000	Wall of Argos	-1	-1	-1	-1	-1	-1	0		0
