# id	name	description	rgb
20190	Skeleton Marauder	"Level 29*"	FF5555
20191	Skeleton Raider	"Level 30*"	FF5555
20192	Tyrant	"Level 35"	A9E89C
20193	Tyrant Kingpin	"Level 36*"	FF5555
20194	Queen Undine	"Level 50*"	FF5555
20197	Sorrow Maiden	"Level 27"	A9E89C
20198	Neer Ghoul Berserker	"Level 29*"	FF5555
20199	Amber Basilisk	"Level 30"	A9E89C
20200	Strain	"Level 31"	A9E89C
20201	Ghoul	"Level 32"	A9E89C
20202	Dead Seeker	"Level 34"	A9E89C
20203	Dion Grizzly	"Level 20"	A9E89C
20204	Bloody Bee	"Level 23"	A9E89C
20205	Dire Wolf	"Level 24*"	FF5555
20206	Kadif Werewolf	"Level 25"	A9E89C
20207	Ol Mahum Guerilla	"Level 26"	A9E89C
20208	Ol Mahum Raider	"Level 27"	A9E89C
20209	Ol Mahum Marksman	"Level 28"	A9E89C
20210	Ol Mahum Sergeant	"Level 29"	A9E89C
20211	Ol Mahum Captain	"Level 30*"	FF5555
20212	Bloody Axe Turmak	Level 34* Ol Mahum Lord	FF5555
20213	Porta	"Level 40"	A9E89C
20214	Excuro	"Level 41"	A9E89C
20215	Mordeo	"Level 42*"	FF5555
20216	Ricenseo	"Level 43"	A9E89C
20217	Krator	"Level 44*"	FF5555
20218	Premo	"Level 45"	A9E89C
20219	Validus	"Level 46"	A9E89C
20220	Dicor	"Level 47*"	FF5555
20221	Perum	"Level 48*"	FF5555
20222	Torfe	"Level 49"	A9E89C
20223	Mandragora Sprout	"Level 20"	A9E89C
20224	Ol Mahum Ranger	"Level 22"	A9E89C
20225	Giant Mist Leech	"Level 25"	A9E89C
20226	Gray Ant	"Level 26"	A9E89C
20227	Horror Mist Ripper	"Level 27*"	FF5555
20228	Giant Crimson Ant	"Level 28"	A9E89C
20229	Stinger Wasp	"Level 30*"	FF5555
20230	Marsh Stakato Worker	"Level 31"	A9E89C
20231	Toad Lord	"Level 32"	A9E89C
20232	Marsh Stakato Soldier	"Level 33"	A9E89C
20233	Marsh Spider	"Level 34*"	FF5555
20234	Marsh Stakato Drone	"Level 35*"	FF5555
20235	Shackle	"Level 45*"	FF5555
20236	Cave Servant	"Level 46"	A9E89C
20237	Cave Servant Archer	"Level 47"	A9E89C
20238	Cave Servant Warrior	"Level 48"	A9E89C
20239	Cave Servant Captain	"Level 49*"	FF5555
20240	Royal Cave Servant	"Level 51"	A9E89C
20241	Hunter Gargoyle	"Level 52"	A9E89C
20242	Dustwind Gargoyle	"Level 53"	A9E89C
20243	Thunder Wyrm	"Level 54*"	FF5555
20244	Malruk Succubus	"Level 55"	A9E89C
20245	Malruk Succubus Turen	"Level 56"	A9E89C
20246	Cave Keeper	"Level 58"	A9E89C
20248	Turak Bugbear	"Level 31"	A9E89C
20249	Turak Bugbear Warrior	"Level 33*"	FF5555
20250	Glass Jaguar	"Level 27"	A9E89C
20251	Delu Lizardman	"Level 28"	A9E89C
20252	Delu Lizardman Scout	"Level 29"	A9E89C
20253	Delu Lizardman Warrior	"Level 30*"	FF5555
20254	Skeleton Axeman	"Level 28*"	FF5555
20255	Batur Orc	"Level 31"	A9E89C
20256	Batur Orc Archer	"Level 32"	A9E89C
20257	Batur Orc Warrior	"Level 33*"	FF5555
20258	Batur Orc Shaman	"Level 34"	A9E89C
20259	Batur Orc Overlord	"Level 35*"	FF5555
20260	Orc Champion	"Level 14*"	FF5555
20261	Orc Shaman	"Level 17"	A9E89C
20265	Monster Eye Searcher	"Level 22"	A9E89C
20266	Monster Eye Gazer	"Level 25"	A9E89C
20267	Breka Orc	"Level 31"	A9E89C
20268	Breka Orc Archer	"Level 32"	A9E89C
20269	Breka Orc Shaman	"Level 34"	A9E89C
20270	Breka Orc Overlord	"Level 35*"	FF5555
20271	Breka Orc Warrior	"Level 33*"	FF5555
20272	Cave Servant	"Level 46"	A9E89C
20273	Cave Servant Archer	"Level 47"	A9E89C
20274	Cave Servant Warrior	"Level 48"	A9E89C
20275	Cave Servant Captain	"Level 49*"	FF5555
20276	Royal Cave Servant	"Level 51"	A9E89C
20277	Cave Keeper	"Level 58"	A9E89C
20279	Shackle	"Level 45*"	FF5555
20280	Headless Knight	"Level 50*"	FF5555
20281	Dustwind Gargoyle	"Level 53"	A9E89C
20282	Thunder Wyrm	"Level 54*"	FF5555
20283	Malruk Succubus	"Level 55"	A9E89C
20284	Malruk Succubus Turen	"Level 56"	A9E89C
20285	Drake	"Level 57*"	FF5555
20286	Hunter Gargoyle	"Level 52"	A9E89C
20287	Cave Maiden	"Level 59*"	FF5555
20291	Enku Orc Champion	"Level 21*"	FF5555
20292	Enku Orc Shaman	"Level 20"	A9E89C
20293	Virud Lizardman	"Level 20"	A9E89C
20294	Virud Lizardman Matriarch	"Level 24*"	FF5555
20295	Virud Lizardman Warrior	"Level 22*"	FF5555
20296	Virud Lizardman Scout	"Level 21"	A9E89C
20297	Virud Lizardman Shaman	"Level 23"	A9E89C
20298	Virud Lizardman Shaman	"Level 23"	A9E89C
20299	Zenta Lizardman	"Level 40"	A9E89C
20300	Zenta Lizardman Matriarch	"Level 44*"	FF5555
20301	Zenta Lizardman Scout	"Level 41"	A9E89C
20302	Zenta Lizardman Warrior	"Level 42*"	FF5555
20303	Zenta Lizardman Shaman	"Level 43"	A9E89C
20304	Marsh Stakato Queen	"Level 36*"	FF5555
20305	Grave	"Level 40*"	FF5555
20307	Garum Werewolf	"Level 9"	A9E89C
20308	Hook Spider	"Level 16"	A9E89C
20309	Brown Fox	"Level 2"	A9E89C
20310	Brown Bear	"Level 16*"	FF5555
20311	Rakeclaw Imp	"Level 6"	A9E89C
20312	Rakeclaw Imp Hunter	"Level 7"	A9E89C
20313	Rakeclaw Imp Chieftain	"Level 10*"	FF5555
20314	Great White Shark	"Level 42*"	FF5555
20316	Darkwing Bat	"Level 11"	A9E89C
20317	Black Wolf	"Level 4"	A9E89C
20318	Black Timber Wolf	"Level 6"	A9E89C
20319	Goblin Grave Robber	"Level 5"	A9E89C
20320	Goblin Tomb Raider Leader	"Level 12"	A9E89C
20321	Goblin Thief	"Level 10"	A9E89C
20322	Goblin Brigand	"Level 8"	A9E89C
20323	Goblin Brigand Leader	"Level 14*"	FF5555
20324	Goblin Brigand Lieutenant	"Level 10*"	FF5555
20325	Goblin Raider	"Level 5"	A9E89C
20326	Goblin Scout	"Level 8"	A9E89C
20327	Goblin Snooper	"Level 5"	A9E89C
20328	Goblin Lookout	"Level 8"	A9E89C
20329	Ghost Guardian	"Level 21*"	FF5555
20330	Mineshaft Bat	"Level 11"	A9E89C
20331	Monster Eye Tracker	"Level 10"	A9E89C
20333	Greystone Golem	"Level 13"	A9E89C
20334	Gremlin Scavenger	"Level 1"	A9E89C
20335	Grizzly Bear	"Level 17"	A9E89C
20336	Green Dryad	"Level 8"	A9E89C
20337	Longtail Fox	"Level 2"	A9E89C
20338	Nightmare Weaver	"Level 21*"	FF5555
20340	Slave Skeleton	"Level 12*"	FF5555
20341	Undead Slave	"Level 19"	A9E89C
20342	Werewolf Chieftain	"Level 12*"	FF5555
20343	Werewolf Hunter	"Level 10*"	FF5555
20345	Dark Terror	"Level 16*"	FF5555
20346	Darkstone Golem	"Level 13"	A9E89C
20347	Doom Wraith	"Level 55*"	FF5555
20348	Cave Spider	"Level 15"	A9E89C
20349	Cave Bat	"Level 13"	A9E89C
20350	Cave Fang Spider	"Level 16*"	FF5555
20351	Dre Vanul Tracker	"Level 20*"	FF5555
20352	Dre Vanul Slayer	"Level 22*"	FF5555
20353	Dre Vanul Beholder	"Level 21*"	FF5555
20354	Dwarf Ghost	"Level 20*"	FF5555
20356	Langk Lizardman Leader	"Level 25*"	FF5555
20357	Langk Lizardman Lieutenant	"Level 22"	A9E89C
20358	Ratman Hunter	"Level 18"	A9E89C
20359	Ratman Warrior	"Level 19"	A9E89C
20360	Ratman Spy	"Level 16"	A9E89C
20361	Tunath Orc Marksman	"Level 10"	A9E89C
20362	Tunath Orc Warrior	"Level 12*"	FF5555
20363	Maraku Werewolf	"Level 9"	A9E89C
20364	Maraku Werewolf Chieftain	"Level 14*"	FF5555
20365	Mountain Fungus	"Level 8"	A9E89C
20367	Merkenis Escort	"Level 20*"	FF5555
20368	Grave Keeper	"Level 13"	A9E89C
20369	Moonstone Beast	"Level 17"	A9E89C
20370	Barbed Bat	"Level 12"	A9E89C
20371	Mist Terror	"Level 15*"	FF5555
20372	Baraq Orc Fighter	"Level 10*"	FF5555
20373	Baraq Orc Warrior Leader	"Level 11"	A9E89C
20374	Baranka's Guard	"Level 22*"	FF5555
20375	Baranka's Escort	"Level 21*"	FF5555
20376	Varikan Brigand Leader	"Level 10*"	FF5555
20377	Varika's Bandit	"Level 7"	A9E89C
20378	Stone Giant	"Level 13"	A9E89C
20379	Stone Soldier	"Level 14"	A9E89C
20380	Stone Guardian	"Level 16"	A9E89C
20381	Vaiss Orc	"Level 10"	A9E89C
20382	Vaiss Orc Warrior Leader	"Level 11"	A9E89C
20383	Arachnid Hunter	"Level 30*"	FF5555
20385	Balor Orc Archer	"Level 8"	A9E89C
20386	Balor Orc Fighter	"Level 10*"	FF5555
20387	Balor Orc Fighter Leader	"Level 12*"	FF5555
20388	Balor Orc Lieutenant	"Level 11"	A9E89C
20389	Boogle Ratman	"Level 16"	A9E89C
20390	Boogle Ratman Leader	"Level 18"	A9E89C
20391	Red Fox	"Level 2"	A9E89C
20392	Redeye Bat	"Level 15"	A9E89C
20393	Red Scavenger Spider	"Level 16"	A9E89C
20394	Crimson Tarantula	"Level 15*"	FF5555
20398	Vrykolakas	"Level 15*"	FF5555
20399	Vrykolakas Wolfkin	"Level 9"	A9E89C
20400	Blood Fungus	"Level 12"	A9E89C
20401	Veelan Bugbear	"Level 23"	A9E89C
20402	Veelan Bugbear Warrior	"Level 24*"	FF5555
20403	Hunter Tarantula	"Level 16"	A9E89C
20404	Silent Horror	"Level 16*"	FF5555
20405	Young Brown Fox	"Level 1"	A9E89C
20406	Young Red Fox	"Level 1"	A9E89C
20407	Young Crimson Fox	"Level 1"	A9E89C
20410	Scavenger Spider	"Level 15*"	FF5555
20411	Scavenger Bat	"Level 18"	A9E89C
20412	Susceptor	"Level 49*"	FF5555
20415	Scarlet Salamander	"Level 17"	A9E89C
20416	Scarlet Salamander Elder	"Level 18"	A9E89C
20418	Crystalline Beast	"Level 18"	A9E89C
20419	Akaste Succubus	"Level 20*"	FF5555
20420	Akaste Succubus Turen	"Level 21*"	FF5555
20421	Akaste Succubus Tilfo	"Level 22*"	FF5555
20422	Akaste Bone Warlord	"Level 17*"	FF5555
20423	Akaste Bone Archer	"Level 14"	A9E89C
20424	Akaste Bone Lord	"Level 19*"	FF5555
20425	Akaste Bone Soldier	"Level 12*"	FF5555
20426	Evil Eye	"Level 10"	A9E89C
20427	Evil Eye Watcher	"Level 10"	A9E89C
20428	Evil Eye Patroller	"Level 14"	A9E89C
20429	Evil Eye Lookout	"Level 14"	A9E89C
20431	Elf Ghost	"Level 20*"	FF5555
20432	Elpy	"Level 1"	A9E89C
20433	Festering Bat	"Level 13"	FF5555
20435	Opal Beast	"Level 15*"	FF5555
20436	Ol Mahum Supplier	"Level 23"	A9E89C
20437	Ol Mahum Recruit	"Level 21"	A9E89C
20438	Ol Mahum General	"Level 26*"	FF5555
20439	Ol Mahum Officer	"Level 24"	A9E89C
20440	Elder Brown Fox	"Level 3"	A9E89C
20441	Elder Longtail Fox	"Level 3"	A9E89C
20442	Elder Wolf	"Level 5"	A9E89C
20443	Elder Red Fox	"Level 3"	A9E89C
20444	Elder Prairie Fox	"Level 3"	A9E89C
20445	Uthanka Pirate	"Level 7"	A9E89C
20446	Utuku Orc	"Level 6"	A9E89C
20447	Utuku Orc Archer	"Level 8"	A9E89C
20448	Utuku Orc Grunt	"Level 7"	A9E89C
20449	Will-O-Wisp	"Level 15"	A9E89C
20450	Relic Werewolf	"Level 9"	A9E89C
20451	Relic Spartoi	"Level 21"	A9E89C
20453	Human Ghost	"Level 20*"	FF5555
20454	Oblivion Watcher	"Level 17"	A9E89C
20455	Doom Soldier	"Level 14*"	FF5555
20456	Ashen Wolf	"Level 4"	A9E89C
20457	Zombie Soldier	"Level 19"	A9E89C
20458	Zombie Warrior	"Level 22*"	FF5555
20460	Crimson Spider	"Level 15*"	FF5555
20461	Dungeon Spider	"Level 15*"	FF5555
20462	Cave Blade Spider	"Level 17*"	FF5555
20463	Dungeon Skeleton Archer	"Level 13"	A9E89C
20464	Dungeon Skeleton	"Level 12*"	FF5555
20465	Prairie Fox	"Level 2"	A9E89C
20466	Pincer Spider	"Level 17*"	FF5555
20468	Kaboo Orc	"Level 6"	A9E89C
20469	Kaboo Orc Archer	"Level 8"	A9E89C
20470	Kaboo Orc Grunt	"Level 7"	A9E89C
20471	Kaboo Orc Fighter	"Level 10*"	FF5555
20472	Kaboo Orc Fighter Leader	"Level 12*"	FF5555
20473	Kaboo Orc Fighter Lieutenant	"Level 11"	A9E89C
20474	Kasha Spider	"Level 15"	A9E89C
20475	Kasha Wolf	"Level 4"	A9E89C
20476	Kasha Fang Spider	"Level 16"	A9E89C
20477	Kasha Timber Wolf	"Level 6"	A9E89C
20478	Kasha Blade Spider	"Level 17"	A9E89C
20479	Kasha Bear	"Level 15*"	FF5555
20480	Blade Bat	"Level 10"	A9E89C
20481	Bearded Keltir	"Level 1"	A9E89C
20483	Corpse Candle	"Level 17"	A9E89C
20487	Kuruka Ratman	"Level 16"	A9E89C
20488	Kuruka Ratman Hunter	"Level 17"	A9E89C
20489	Quicksilver Beast	"Level 15*"	FF5555
20490	Death Doll	"Level 40*"	FF5555
20491	Crypt Horror	"Level 15*"	FF5555
20492	Kirunak's Guards	"Level 21"	A9E89C
20494	Turek War Hound	"Level 24"	A9E89C
20495	Turek Orc Warlord	"Level 30*"	FF5555
20496	Turek Orc Archer	"Level 27"	A9E89C
20497	Turek Orc Skirmisher	"Level 28*"	FF5555
20498	Turek Orc Supplier	"Level 27"	A9E89C
20499	Turek Orc Footman	"Level 26"	A9E89C
20500	Turek Orc Sentinel	"Level 25"	A9E89C
20501	Turek Orc Shaman	"Level 29"	A9E89C
20502	Twink Puma	"Level 15*"	FF5555
20504	Dread Soldier	"Level 14*"	FF5555
20505	Ruin Bat	"Level 20*"	FF5555
20506	Ruin Imp	"Level 17"	A9E89C
20507	Ruin Imp Elder	"Level 21*"	FF5555
20508	Plunder Tarantula	"Level 17*"	FF5555
20509	Spore Fungus	"Level 9"	A9E89C
20510	Puma	"Level 12"	A9E89C
20511	Pitchstone Golem	"Level 19"	A9E89C
20512	Field Stalker	"Level 35*"	FF5555
20513	Skeleton Knight	"Level 32*"	FF5555
20514	Shield Skeleton	"Level 15"	A9E89C
20515	Skeleton Infantryman	"Level 16"	A9E89C
20516	Skeleton Sentinel	"Level 14*"	FF5555
20517	Skeleton Hunter	"Level 12*"	FF5555
20518	Skeleton Hunter Archer	"Level 13"	A9E89C
20519	Skeleton Pikeman	"Level 27*"	FF5555
20520	Pirate Captain Uthanka	"Level 10*"	FF5555
20521	Whinstone Golem	"Level 14"	A9E89C
20522	White Fang	"Level 10*"	FF5555
20524	Grey Wolf Elder	"Level 7"	A9E89C
20525	Gray Wolf	"Level 4"	A9E89C
20526	Obsidian Golem	"Level 15"	A9E89C
20527	Great Snow Wolf	"Level 4*"	FF5555
20528	Goblin Lord	"Level 13"	A9E89C
20529	Young Brown Keltir	"Level 1"	A9E89C
20530	Young Red Keltir	"Level 1"	A9E89C
20531	Young Prairie Keltir	"Level 1"	A9E89C
20532	Brown Keltir	"Level 2"	A9E89C
20533	Longtail Keltir	"Level 2"	A9E89C
20534	Red Keltir	"Level 2"	A9E89C
20535	Prairie Keltir	"Level 2"	A9E89C
20536	Elder Brown Keltir	"Level 3"	A9E89C
20537	Elder Red Keltir	"Level 3"	A9E89C
20538	Elder Prairie Keltir	"Level 3"	A9E89C
20539	Elder Longtail Keltir	"Level 3"	A9E89C
20540	Gemstone Beast	"Level 12"	A9E89C
20541	Ore Bat	"Level 17"	A9E89C
20542	Skeleton Longbowman	"Level 19*"	FF5555
20543	Ghost	"Level 20*"	FF5555
20544	Elder Keltir	"Level 3"	A9E89C
20545	Young Keltir	"Level 1"	A9E89C
20546	Turek Orc Elder	"Level 34*"	FF5555
20547	Ol Mahum Reserve	"Level 23"	A9E89C
20548	Ol Mahum Deserter	"Level 23*"	FF5555
20549	Ol Mahum Lord	"Level 34*"	FF5555
20550	Guardian Basilisk	"Level 36"	A9E89C
20551	Road Scavenger	"Level 37"	A9E89C
20552	Fettered Soul	"Level 38"	A9E89C
20553	Windsus	"Level 39"	A9E89C
20554	Grandis	"Level 40*"	FF5555
20555	Giant Fungus	"Level 40"	A9E89C
20556	Giant Monstereye	"Level 41"	A9E89C
20557	Dire Wyrm	"Level 42*"	FF5555
20558	Rotting tree	"Level 43"	A9E89C
20559	Rotting Golem	"Level 44"	A9E89C
20560	Trisalim Spider	"Level 45"	A9E89C
20561	Trisalim Tarantula	"Level 46*"	FF5555
20562	Spore Zombie	"Level 47"	A9E89C
20563	Manashen Gargoyle	"Level 40"	A9E89C
20564	Enchanted Monstereye	"Level 41*"	FF5555
20565	Enchanted Stone Golem	"Level 42"	A9E89C
20566	Enchanted Iron Golem	"Level 43"	A9E89C
20567	Enchanted Gargoyle	"Level 44"	A9E89C
20568	Formor	"Level 45"	A9E89C
20569	Formor Elder	"Level 46"	A9E89C
20570	Tarlk Bugbear	"Level 47"	A9E89C
20571	Tarlk Bugbear Warrior	"Level 48*"	FF5555
20572	Tarlk Bugbear High Warrior	"Level 49"	A9E89C
20573	Tarlk Basilisk	"Level 50"	A9E89C
20574	Elder Tarlk Basilisk	"Level 51*"	FF5555
20575	Oel Mahum Warrior	"Level 54"	A9E89C
20576	Oel Mahum Witch Doctor	"Level 55"	A9E89C
20577	Leto Lizardman	"Level 35"	A9E89C
20578	Leto Lizardman Archer	"Level 36"	A9E89C
20579	Leto Lizardman Soldier	"Level 37*"	FF5555
20580	Leto Lizardman Warrior	"Level 38"	A9E89C
20581	Leto Lizardman Shaman	"Level 39"	A9E89C
20582	Leto Lizardman Overlord	"Level 40*"	FF5555
20583	Timak Orc	"Level 40"	A9E89C
20584	Timak Orc Archer	"Level 41"	A9E89C
20585	Timak Orc Soldier	"Level 42*"	FF5555
20586	Timak Orc Warrior	"Level 43"	A9E89C
20587	Timak Orc Shaman	"Level 44"	A9E89C
20588	Timak Orc Overlord	"Level 45*"	FF5555
20589	Fline	"Level 45"	A9E89C
20590	Liele	"Level 46"	A9E89C
20591	Valley Treant	"Level 47"	A9E89C
20592	Satyr	"Level 48*"	FF5555
20593	Unicorn	"Level 49"	A9E89C
20594	Forest Runner	"Level 50"	A9E89C
20595	Fline Elder	"Level 51"	A9E89C
20596	Liele Elder	"Level 52*"	FF5555
20597	Valley Treant Elder	"Level 53"	A9E89C
20598	Satyr Elder	"Level 54"	A9E89C
20599	Unicorn Elder	"Level 55"	A9E89C
20600	Karul Bugbear	"Level 40"	A9E89C
20601	Tamlin Orc	"Level 41"	A9E89C
20602	Tamlin Orc Archer	"Level 42"	A9E89C
20603	Kronbe Spider	"Level 43*"	FF5555
20604	Lakin	"Level 44"	A9E89C
20605	Weird Drake	"Level 45*"	FF5555
20606	Kuran Kobold	"Level 27"	A9E89C
20607	Kuran Kobold Warrior	"Level 28"	A9E89C
20608	Patin Archer	"Level 29*"	FF5555
20609	Lakin Salamander	"Level 30"	A9E89C
20610	Sentinel Of Water	"Level 31"	A9E89C
